id|song_name|artist|lyric|lyric_by_es
184|Silbando|Carlos Gardel|Una calle en Barracas al sur Una noche de verano Cuando el cielo es mas azul Y mas dulzon el canto del barco italianoCon su luz mortecina, un farol Con las sombras gambetea Y en un zaguan esta un galan Hablando con su amorY desde el fondo del dock Gimiendo en languido lamento El eco trae un acento De un monòtono acordeònY cruza el cielo un aullido De algun perro vagabundo Y un reo meditabundo va silbando esta canción Una calle, un farol, ella y elY llegando sigilosa La sombra del hombre aquel A quien infiel dejo una vez la ingrata mozaUn gemido y un grito mortal Y brillando entre las sombras El relumbron con que un facon Da su tajo fatal Y, desde el fondo del dock|Una calle en Barracas al sur Una noche de verano Cuando el cielo es mas azul Y mas dulzon el canto del barco italiano<>Con su luz mortecina, un farol Con las sombras gambetea Y en un zaguan esta un galan Hablando con su amor<>Y desde el fondo del dock Gimiendo en languido lamento El eco trae un acento De un monòtono acordeòn<>Y cruza el cielo un aullido De algun perro vagabundo Y un reo meditabundo va silbando esta canción Una calle, un farol, ella y el<>Y llegando sigilosa La sombra del hombre aquel A quien infiel dejo una vez la ingrata moza<>Un gemido y un grito mortal Y brillando entre las sombras El relumbron con que un facon Da su tajo fatal Y, desde el fondo del dock<>
185|Vieja Viola|Edmundo Rivero|Vieja viola garufera y vibradora De mis años de parranda y copetin, De las tantas serenatas a la lora Que fue dueña de mi cuore Y hoy es reina del bulin; Como estas de abandonada y silenciosa, Después que fuiste mi sueño de cantor! Quien te ha oido sonar papa y melodiosa No dice que sos la diosa De mi pobre corazón.Es que la gola se va Y la fama es puro cuento... Andando mal y sin vento Todo, todo se acabo. Hoy solo queda el recuerdo De pasadas alegrias Pero estas vos, viola mia, Hasta que me vaya yo.Cuantas veces con el brazo de la zurda Cubriendote del rocio te lleve, Y por más que me encontraste bien en curda Conservandome en la linea De otros curdas te cuide. Si los años de la vida me componen Y la suerte me rempuja a encarrilar, Yo te juro que te cambio los bordones, Me rechiflo del escabio Y te vuelvo a hacer sonar.|Vieja viola garufera y vibradora De mis años de parranda y copetin, De las tantas serenatas a la lora Que fue dueña de mi cuore Y hoy es reina del bulin; Como estas de abandonada y silenciosa, Después que fuiste mi sueño de cantor! Quien te ha oido sonar papa y melodiosa No dice que sos la diosa De mi pobre corazón.<>Es que la gola se va Y la fama es puro cuento... Andando mal y sin vento Todo, todo se acabo. Hoy solo queda el recuerdo De pasadas alegrias Pero estas vos, viola mia, Hasta que me vaya yo.<>Cuantas veces con el brazo de la zurda Cubriendote del rocio te lleve, Y por más que me encontraste bien en curda Conservandome en la linea De otros curdas te cuide. Si los años de la vida me componen Y la suerte me rempuja a encarrilar, Yo te juro que te cambio los bordones, Me rechiflo del escabio Y te vuelvo a hacer sonar.<>
186|Discepolín|Homero Manzi|Sobre el mármol helado, migas de medialuna y una mujer absurda que come en un rincón ... Tu musa está sangrando y ella se desayuna ... el alba no perdona ni tiene corazón. Al fin, ¿quién es culpable de la vida grotesca y del alma manchada con sangre de carmín? Mejor es que salgamos antes de que amanezca, antes de que lloremos, ¡viejo Discepolín!...Conozco de tu largo aburrimiento y comprendo lo que cuesta ser feliz, y al son de cada tango te presiento con tu talento enorme y tu nariz; con tu lágrima amarga y escondida, con tu careta pálida de clown, y con esa sonrisa entristecida que florece en verso y en canción.La gente se te arrima con su montón de penas y tú las acaricias casi con un temblor... Te duele como propia la cicatriz ajena: aquél no tuvo suerte y ésta no tuvo amor. La pista se ha poblado al ruido de la orquesta se abrazan bajo el foco muñecos de aserrín... ¿No ves que están bailando? ¿No ves que están de fiesta? Vamos, que todo duele, viejo Discepolín...|Sobre el mármol helado, migas de medialuna y una mujer absurda que come en un rincón ... Tu musa está sangrando y ella se desayuna ... el alba no perdona ni tiene corazón. Al fin, ¿quién es culpable de la vida grotesca y del alma manchada con sangre de carmín? Mejor es que salgamos antes de que amanezca, antes de que lloremos, ¡viejo Discepolín!...<>Conozco de tu largo aburrimiento y comprendo lo que cuesta ser feliz, y al son de cada tango te presiento con tu talento enorme y tu nariz; con tu lágrima amarga y escondida, con tu careta pálida de clown, y con esa sonrisa entristecida que florece en verso y en canción.<>La gente se te arrima con su montón de penas y tú las acaricias casi con un temblor... Te duele como propia la cicatriz ajena: aquél no tuvo suerte y ésta no tuvo amor. La pista se ha poblado al ruido de la orquesta se abrazan bajo el foco muñecos de aserrín... ¿No ves que están bailando? ¿No ves que están de fiesta? Vamos, que todo duele, viejo Discepolín...<>
187|El Amor Que Nunca Muere|Cacho Castaña|El amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausenciaEl amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausenciaLlegaron sin saber nada Se fueron sabiendo todo Cuando aprendieron se fueron A disfrutarlo con otroLlegaron con tantos miedos De hablar de sus fantasías Que cuando hablaron sintieron que volar solas podríanEl amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausenciaEl amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausenciaLlegaron volando bajo, como gorriones sin nido Se fueron volando alto y con vuelo atrevido Lo que vivieron conmigo Pobre de aquel que le toque poder total parejito pero jamás mi galopeEl amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausenciaEl amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausenciaY yo que sigo soñando Por donde andarán perdidas Y que quisieran volver porque están arrepentidas Yo pensé que tu me amabas Que por mi te morirías Soy la pena de un domingo cuando va muriendo el díaEl amor que nunca muere Es aquel que no comienza Que grande que fue tu amor Me está matando tú ausenciaEl amor que nunca muere Es aquel que no comienza Que grande que fue tu amor Me está matando tú ausenciaEl amor que nunca muere Es aquel que no comienza Que grande que fue tu amor Me está matando tú ausenciaMe está matando tú ausenciaMe está matando tú ausencia|El amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausencia<>El amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausencia<>Llegaron sin saber nada Se fueron sabiendo todo Cuando aprendieron se fueron A disfrutarlo con otro<>Llegaron con tantos miedos De hablar de sus fantasías Que cuando hablaron sintieron que volar solas podrían<>El amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausencia<>El amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausencia<>Llegaron volando bajo, como gorriones sin nido Se fueron volando alto y con vuelo atrevido Lo que vivieron conmigo Pobre de aquel que le toque poder total parejito pero jamás mi galope<>El amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausencia<>El amor que nunca muere Es aquel que no comienza Es el verdadero amor cuando nos mata su ausencia<>Y yo que sigo soñando Por donde andarán perdidas Y que quisieran volver porque están arrepentidas Yo pensé que tu me amabas Que por mi te morirías Soy la pena de un domingo cuando va muriendo el día<>El amor que nunca muere Es aquel que no comienza Que grande que fue tu amor Me está matando tú ausencia<>El amor que nunca muere Es aquel que no comienza Que grande que fue tu amor Me está matando tú ausencia<>El amor que nunca muere Es aquel que no comienza Que grande que fue tu amor Me está matando tú ausencia<>Me está matando tú ausencia<>Me está matando tú ausencia<>
188|Te llaman Malevo|Homero Expósito|Nació en un barrio con malvón y luna por donde el hambre suele hacer gambetas y desde pibe fue poniendo el hombro y anchó a trabajo su sonrisa buena. La sal del tiempo le oxidó la cara cuando una mina lo dejó en chancleta y entonces solo, para siempre solo, largó el laburo y se metió en la huella.Malevo, te olvidaste en los boliches  los anhelos de tu vieja. Malevo, se agrandaron tus hazañas  con las copas de ginebra. Por ella, tan sólo por ella, dejaste una huella de amargo rencor. Malevo, ¡qué triste! jugaste y perdiste tan sólo por ella  que nunca volvió.Tambor de tacos redoblando calles para que se entren las muchachas buenas y allí el silencio que mastica el pucho dejando siempre la mirada a cuenta. Dicen que dicen que una noche zurda con el cuchillo deshojó la espera y entonces solo, como flor de orilla, largó el cansancio y se mató por ella.|Nació en un barrio con malvón y luna por donde el hambre suele hacer gambetas y desde pibe fue poniendo el hombro y anchó a trabajo su sonrisa buena. La sal del tiempo le oxidó la cara cuando una mina lo dejó en chancleta y entonces solo, para siempre solo, largó el laburo y se metió en la huella.<>Malevo, te olvidaste en los boliches  los anhelos de tu vieja. Malevo, se agrandaron tus hazañas  con las copas de ginebra. Por ella, tan sólo por ella, dejaste una huella de amargo rencor. Malevo, ¡qué triste! jugaste y perdiste tan sólo por ella  que nunca volvió.<>Tambor de tacos redoblando calles para que se entren las muchachas buenas y allí el silencio que mastica el pucho dejando siempre la mirada a cuenta. Dicen que dicen que una noche zurda con el cuchillo deshojó la espera y entonces solo, como flor de orilla, largó el cansancio y se mató por ella.<>
189|Tres Amigos|Anibal Troilo|De mis páginas vividas, siempre llevo un gran recuerdo Mi emoción no las olvida, pasa el tiempo y más me acuerdo. Tres amigos siempre fuimos En aquella juventud... Era el trío más mentado Que pudo haber caminado Por esas calles del sur.¿Dónde andarás, pancho alsina? ¿Dónde andarás, balmaceda? Yo los espero en la esquina De suárez y necochea... Hoy... Ninguno acude a mi cita. Ya... Mi vida toma el desvío. Hoy... La guardia vieja me grita: "¿Quién... Ha dispersado aquel trío?" Pero yo igual los recuerdo Mis dos amigos de ayer...Una vez, allá en portones, me salvaron de la muerte. Nunca faltan encontrones cuando un pobre se divierte. Y otra vez, allá en barracas, Esa deuda les pagué... Siempre juntos nos veían... Esa amistad nos tenía Atados siempre a los tres.|De mis páginas vividas, siempre llevo un gran recuerdo Mi emoción no las olvida, pasa el tiempo y más me acuerdo. Tres amigos siempre fuimos En aquella juventud... Era el trío más mentado Que pudo haber caminado Por esas calles del sur.<>¿Dónde andarás, pancho alsina? ¿Dónde andarás, balmaceda? Yo los espero en la esquina De suárez y necochea... Hoy... Ninguno acude a mi cita. Ya... Mi vida toma el desvío. Hoy... La guardia vieja me grita: "¿Quién... Ha dispersado aquel trío?" Pero yo igual los recuerdo Mis dos amigos de ayer...<>Una vez, allá en portones, me salvaron de la muerte. Nunca faltan encontrones cuando un pobre se divierte. Y otra vez, allá en barracas, Esa deuda les pagué... Siempre juntos nos veían... Esa amistad nos tenía Atados siempre a los tres.<>
190|Toda Mi Vida (part. Francisco Fiorentino)|Anibal Troilo|Hoy después de tanto tiempo De no verte, de no hablarte Ya cansado de buscarte Siempre, siempre Siento que me voy muriendo Por tu olvido lentamente Y en el frío de mi frente ¡Tus besos no dejarás!Sé que mucho me has querido Tanto, ¡tanto como yo! Pero en cambio yo he sufrido Mucho, ¡mucho más que vos! No sé por qué te perdí Tampoco sé cuando fue Pero a tu lado dejé Toda mi vida Y hoy que estás lejos de mí Y has conseguido olvidar Soy un pasaje de tu vida ¡Nada más!Es tan poco lo que falta Para irme con la muerte Ya mis ojos no han de verte Nunca, ¡nunca! Y si un día por mi culpa Una lágrima vertiste Porque tanto me quisiste ¡Sé que me perdonarás!|Hoy después de tanto tiempo De no verte, de no hablarte Ya cansado de buscarte Siempre, siempre Siento que me voy muriendo Por tu olvido lentamente Y en el frío de mi frente ¡Tus besos no dejarás!<>Sé que mucho me has querido Tanto, ¡tanto como yo! Pero en cambio yo he sufrido Mucho, ¡mucho más que vos! No sé por qué te perdí Tampoco sé cuando fue Pero a tu lado dejé Toda mi vida Y hoy que estás lejos de mí Y has conseguido olvidar Soy un pasaje de tu vida ¡Nada más!<>Es tan poco lo que falta Para irme con la muerte Ya mis ojos no han de verte Nunca, ¡nunca! Y si un día por mi culpa Una lágrima vertiste Porque tanto me quisiste ¡Sé que me perdonarás!<>
191|El último organito|Homero Manzi|Las ruedas embarradas del último organito vendrán desde la tarde buscando el arrabal, con un caballo flaco y un rengo y un monito y un coro de muchachas vestidas de percal.Con pasos apagados elegirá la esquina donde se mezclan luces de luna y almacén para que bailen valses detrás de la hornacina la pálida marquesa y el pálido marqués.El último organito irá de puerta en puerta hasta encontrar la casa de la vecina muerta, de la vecina aquella que se cansó de amar; y allí molerá tangos para que llore el ciego, el ciego inconsolable del verso de Carriego, que fuma, fuma y fuma sentado en el umbral.Tendrá una caja blanca el último organito y el asma del otoño sacudirá su son, y adornarán sus tablas cabezas de angelitos y el eco de su piano será como un adiós.Saludarán su ausencia las novias encerradas abriendo las persianas detrás de su canción, y el último organito se perderá en la nada y el alma del suburbio se quedará sin voz.|Las ruedas embarradas del último organito vendrán desde la tarde buscando el arrabal, con un caballo flaco y un rengo y un monito y un coro de muchachas vestidas de percal.<>Con pasos apagados elegirá la esquina donde se mezclan luces de luna y almacén para que bailen valses detrás de la hornacina la pálida marquesa y el pálido marqués.<>El último organito irá de puerta en puerta hasta encontrar la casa de la vecina muerta, de la vecina aquella que se cansó de amar; y allí molerá tangos para que llore el ciego, el ciego inconsolable del verso de Carriego, que fuma, fuma y fuma sentado en el umbral.<>Tendrá una caja blanca el último organito y el asma del otoño sacudirá su son, y adornarán sus tablas cabezas de angelitos y el eco de su piano será como un adiós.<>Saludarán su ausencia las novias encerradas abriendo las persianas detrás de su canción, y el último organito se perderá en la nada y el alma del suburbio se quedará sin voz.<>
192|Mi Noche Triste|Carlos Gardel|Mujer que me abandonaste en lo mejor de mi vida Dejándome el alma herida y espina en el corazón Sabiendo que te quería, que vos eras mi alegría Y mi suelo abrasador Para mi ya no hay consuelo y por eso me embriago Pa olvidarme de tu amorCuando voy a mi cotorro y lo veo desareglado Todo triste, abandonado, me dan ganas de llorar Y me paso largo rato campaneando tu retrato Pa poderme consolarDe noche cuando me acuesto, no puedo cerrar la puerta Porque dejándola abierta me hago ilusión que volves Siempre traigo bizcochitos pa tomar con matecitos Como cuando estabas vosY si vieras la cama como se pone cabrera Cuando no nos ve a los dos Ya no hay en el buln aquellos lindos frasquitos Adornados con moitos todos de un mismo color Y el espejo esta empapado si parece que ha llorado Por la ausencia de tu amorLa guitarra en el ropero todavía esta colgada Nadie en ella canta nada ni hace sus cuerdas vibrar Y la lámpara del cuarto también tu ausencia ha sentido Por que su luz no ha querido Mi noche triste alumbrar|Mujer que me abandonaste en lo mejor de mi vida Dejándome el alma herida y espina en el corazón Sabiendo que te quería, que vos eras mi alegría Y mi suelo abrasador Para mi ya no hay consuelo y por eso me embriago Pa olvidarme de tu amor<>Cuando voy a mi cotorro y lo veo desareglado Todo triste, abandonado, me dan ganas de llorar Y me paso largo rato campaneando tu retrato Pa poderme consolar<>De noche cuando me acuesto, no puedo cerrar la puerta Porque dejándola abierta me hago ilusión que volves Siempre traigo bizcochitos pa tomar con matecitos Como cuando estabas vos<>Y si vieras la cama como se pone cabrera Cuando no nos ve a los dos Ya no hay en el buln aquellos lindos frasquitos Adornados con moitos todos de un mismo color Y el espejo esta empapado si parece que ha llorado Por la ausencia de tu amor<>La guitarra en el ropero todavía esta colgada Nadie en ella canta nada ni hace sus cuerdas vibrar Y la lámpara del cuarto también tu ausencia ha sentido Por que su luz no ha querido Mi noche triste alumbrar<>
193|Victoria|Carlos Gardel|¡Victoria!  ¡Saraca, Victoria!  Pianté de la noria:  ¡Se fue mi mujer!  Si me parece mentira  después de seis años  volver a vivir...  Volver a ver mis amigos,  vivir con mama otra vez.  ¡Victoria!  ¡Cantemos victoria!  Yo estoy en la gloria:  ¡Se fue mi mujer! ¡Me saltaron los tapones,  cuando tuve esta mañana  la alegría de no verla más!  Y es que al ver que no la tengo,  corro, salto, voy y vengo,  desatentao...¡Gracias a Dios  que me salvé de andar  toda la vida atao  llevando el bacalao  de la Emulsión de Scott..!  Si no nace el marinero  que me tira la pilota  para hacerme resollar....  yo ya estaba condeno  a morir ensartenao,  como el último infeliz. ¡Victoria!  ¡Saraca, victoria!  Pianté de la noria:  ¡Se fue mi mujer!  Me da tristeza el panete,  chicato inocente  que se la llevó...  ¡Cuando desate el paquete  y manye que se ensartó!  ¡Victoria!  ¡Cantemos victoria!  Yo estoy en la gloria:  ¡Se fue mi mujer!|¡Victoria!  ¡Saraca, Victoria!  Pianté de la noria:  ¡Se fue mi mujer!  Si me parece mentira  después de seis años  volver a vivir...  Volver a ver mis amigos,  vivir con mama otra vez.  ¡Victoria!  ¡Cantemos victoria!  Yo estoy en la gloria:  ¡Se fue mi mujer! <>¡Me saltaron los tapones,  cuando tuve esta mañana  la alegría de no verla más!  Y es que al ver que no la tengo,  corro, salto, voy y vengo,  desatentao...¡Gracias a Dios  que me salvé de andar  toda la vida atao  llevando el bacalao  de la Emulsión de Scott..!  Si no nace el marinero  que me tira la pilota  para hacerme resollar....  yo ya estaba condeno  a morir ensartenao,  como el último infeliz. <>¡Victoria!  ¡Saraca, victoria!  Pianté de la noria:  ¡Se fue mi mujer!  Me da tristeza el panete,  chicato inocente  que se la llevó...  ¡Cuando desate el paquete  y manye que se ensartó!  ¡Victoria!  ¡Cantemos victoria!  Yo estoy en la gloria:  ¡Se fue mi mujer!<>
194|Esta Noche Me Emborracho|Enrique Santos Discépolo|Sola, fané, descangayada La vi esta madrugada Salir de un cabaret Flaca, dos cuartas de cogote Y una percha en el escote Bajo la nuez Chueca, vestida de pebeta Teñida y coqueteando Su desnudez Parecía un gallo desplumao Mostrando al compadrear El cuero picoteao Yo que sé cuando no aguanto más Al verla, así, rajé Pa' no llorar¡Y pensar que hace diez años Fue mi locura! ¡Que llegué hasta la traición Por su hermosura! Que esto que hoy es un cascajo Fue la dulce metedura Donde yo perdí el honor Que chiflao por su belleza Le quité el pan a la vieja Me hice ruin y pechador Que quedé sin un amigo Que viví de mala fe Que me tuvo de rodillas Sin moral, hecho un mendigo Cuando se fueNunca soñé que la vería En un requiscat in pace Tan cruel como el de hoy ¡Mire, si no es pa' suicidarse Que por ese cachivache Sea lo que soy! Fiera venganza la del tiempo Que le hace ver deshecho Lo que uno amó Este encuentro me ha hecho tanto mal Que si lo pienso más Termino envenenao Esta noche me emborracho bien Me mamo, ¡bien mamao! Pa' no pensar|Sola, fané, descangayada La vi esta madrugada Salir de un cabaret Flaca, dos cuartas de cogote Y una percha en el escote Bajo la nuez Chueca, vestida de pebeta Teñida y coqueteando Su desnudez Parecía un gallo desplumao Mostrando al compadrear El cuero picoteao Yo que sé cuando no aguanto más Al verla, así, rajé Pa' no llorar<>¡Y pensar que hace diez años Fue mi locura! ¡Que llegué hasta la traición Por su hermosura! Que esto que hoy es un cascajo Fue la dulce metedura Donde yo perdí el honor Que chiflao por su belleza Le quité el pan a la vieja Me hice ruin y pechador Que quedé sin un amigo Que viví de mala fe Que me tuvo de rodillas Sin moral, hecho un mendigo Cuando se fue<>Nunca soñé que la vería En un requiscat in pace Tan cruel como el de hoy ¡Mire, si no es pa' suicidarse Que por ese cachivache Sea lo que soy! Fiera venganza la del tiempo Que le hace ver deshecho Lo que uno amó Este encuentro me ha hecho tanto mal Que si lo pienso más Termino envenenao Esta noche me emborracho bien Me mamo, ¡bien mamao! Pa' no pensar<>
195|Soy Un Arlequín|Enrique Santos Discépolo|Soy un arlequín, Un arlequín que canta y baila Para ocultar Su corazón lleno de pena. Me clavó en la cruz Tu folletín de magdalena Porque soñé Que era jesús y te salvaba. Me engañó tu voz, Tu llorar de arrepentida sin perdón Eras mujer... ¡pensé en mi madre Y me clavé! Viví en tu amor una esperanza La inútil ansia de tu salvación. ¡perdonáme si fui bueno! Si no sé más que sufrir. Si he vivido entre las risas Por quererte redimir. ¡cuánto dolor que hace reír!|Soy un arlequín, Un arlequín que canta y baila Para ocultar Su corazón lleno de pena. Me clavó en la cruz Tu folletín de magdalena Porque soñé Que era jesús y te salvaba. Me engañó tu voz, Tu llorar de arrepentida sin perdón Eras mujer... ¡pensé en mi madre Y me clavé! Viví en tu amor una esperanza La inútil ansia de tu salvación. ¡perdonáme si fui bueno! Si no sé más que sufrir. Si he vivido entre las risas Por quererte redimir. ¡cuánto dolor que hace reír!<>
196|Señora Si Usted Supiera|Cacho Castaña|Señora si usted supiera las Cosas que yo le haria Señora si usted supiera, estoy Seguro que me querria Señora si usted supera las Cosas que yo le haria Señora si usted supiera, estoy Seguro que me querriaUn año de divorciada, y anda Buscando marido Señora no pierda tiempo Si anda con ganas Pruebe conmigo. Señora se que le han dicho Que yo soy un atorrante Lo estan diciendo de envidia Porque no quieren que sea su amanteSeñora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Seguro que me querria Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Segura que me queriaYo se que a pesar de todo Le gusta mi fantasia Y en las noches de verano Cuando esta sola quiere ser mia Señora se que en su cama Las sabanas estan frias Señora si usted supiera que Calentitas que estan las miasSeñora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Seguro que me querria Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Segura que me querriaSeñora si tiene miedo de andar Metiendose en lios Si usted me presta su hija Señora a cambio le doy mi tio Si no quiere hacer el cambio Por miedo de arrepentirse Señora no pierda tiempo Llego el momento de desvestirseSeñora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Seguro que me querria Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Segura que me querria|Señora si usted supiera las Cosas que yo le haria Señora si usted supiera, estoy Seguro que me querria Señora si usted supera las Cosas que yo le haria Señora si usted supiera, estoy Seguro que me querria<>Un año de divorciada, y anda Buscando marido Señora no pierda tiempo Si anda con ganas Pruebe conmigo. Señora se que le han dicho Que yo soy un atorrante Lo estan diciendo de envidia Porque no quieren que sea su amante<>Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Seguro que me querria Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Segura que me queria<>Yo se que a pesar de todo Le gusta mi fantasia Y en las noches de verano Cuando esta sola quiere ser mia Señora se que en su cama Las sabanas estan frias Señora si usted supiera que Calentitas que estan las mias<>Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Seguro que me querria Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Segura que me querria<>Señora si tiene miedo de andar Metiendose en lios Si usted me presta su hija Señora a cambio le doy mi tio Si no quiere hacer el cambio Por miedo de arrepentirse Señora no pierda tiempo Llego el momento de desvestirse<>Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Seguro que me querria Señora si usted supiera las Cosas que yo le haria Señora si usted supiera estoy Segura que me querria<>
197|Tres Esperanzas|Enrique Santos Discépolo|No doy un paso más Alma triste que hay en mí Me siento destrozao ¡Murámonos aquí! Pa' qué seguir así Padeciendo a lo fakir Si el mundo sigue igual Si el Sol vuelve a salir La gente me ha engañaoDesde el día en que nací Las hembras se han burlao La vieja la perdí No ves que estoy en yanta Y bandeao por ser un gil Cachá el bufoso Y chau ¡vamo a dormir!Tres esperanzas Tuve en mi vida Dos eran blancas Y una punzó Una mi madre Vieja y vencida Otra la gente Y otra un amorTres esperanzas Tuve en mi vida Dos me engañaron Y una murióNo tengo ni rencor Ni veneno, ni maldad Son ganas de olvidar ¡Terror al porvenir! Me he vuelto pa' mirar Y el pasao me ha hecho reír ¡Las cosas que he soñao Me cache en dié, qué gil!Plantate aquí nomás Alma otaria que hay en mí Con tres pa' qué pedir Más vale no jugar Si a un paso del adiós No hay un beso para mí Cachá el bufoso Y chau ¡vamo a dormir!|No doy un paso más Alma triste que hay en mí Me siento destrozao ¡Murámonos aquí! Pa' qué seguir así Padeciendo a lo fakir Si el mundo sigue igual Si el Sol vuelve a salir La gente me ha engañao<>Desde el día en que nací Las hembras se han burlao La vieja la perdí No ves que estoy en yanta Y bandeao por ser un gil Cachá el bufoso Y chau ¡vamo a dormir!<>Tres esperanzas Tuve en mi vida Dos eran blancas Y una punzó Una mi madre Vieja y vencida Otra la gente Y otra un amor<>Tres esperanzas Tuve en mi vida Dos me engañaron Y una murió<>No tengo ni rencor Ni veneno, ni maldad Son ganas de olvidar ¡Terror al porvenir! Me he vuelto pa' mirar Y el pasao me ha hecho reír ¡Las cosas que he soñao Me cache en dié, qué gil!<>Plantate aquí nomás Alma otaria que hay en mí Con tres pa' qué pedir Más vale no jugar Si a un paso del adiós No hay un beso para mí Cachá el bufoso Y chau ¡vamo a dormir!<>
198|Los Hijos de Gardel|Laura Canoura|Empezaron a soñar con el regreso En la puerta principal del aeropuerto Las valijas repletas de ilusiones Los bolsillos vacíos y con miedo Se llevaron de memoria el obelisco Las siluetas de la plaza libertad Y en el medio del pecho la nostalgia Para abrirla en un regalo en navidadLos hijos de gardel nunca pensaron Que aquello de volver era real Se agarraron al lugar con alfileres Y dejaron las valijas sin guardarSobre todo hablan siempre en uruguayo Aunque nadie los entienda ¿qué más da? Y practican el despegue a cada rato Cuando ven que con sus hijos es igual Cada tanto les mandamos unas fotos Con la rambla o sarandí peatonal Para hacerles más liviano el desapego Al país donde se fueron a emigrarPero hay otros que se fueron sin recuerdos Aunque el alma les doliera casi igual Se llevaron solo el vos de polizonte Y dejaron olvidado el ta y el chau Tienen hijos en parís, en barcelona Que conocen uruguay de una postal En la casa solo se habla en otro idioma Y el origen solo está en la credencialLos hijos de gardel siempre supieron Que la patria es algo más que identidad Se agarraron al lugar como pudieron Y mandaron las valijas al desván|Empezaron a soñar con el regreso En la puerta principal del aeropuerto Las valijas repletas de ilusiones Los bolsillos vacíos y con miedo Se llevaron de memoria el obelisco Las siluetas de la plaza libertad Y en el medio del pecho la nostalgia Para abrirla en un regalo en navidad<>Los hijos de gardel nunca pensaron Que aquello de volver era real Se agarraron al lugar con alfileres Y dejaron las valijas sin guardar<>Sobre todo hablan siempre en uruguayo Aunque nadie los entienda ¿qué más da? Y practican el despegue a cada rato Cuando ven que con sus hijos es igual Cada tanto les mandamos unas fotos Con la rambla o sarandí peatonal Para hacerles más liviano el desapego Al país donde se fueron a emigrar<>Pero hay otros que se fueron sin recuerdos Aunque el alma les doliera casi igual Se llevaron solo el vos de polizonte Y dejaron olvidado el ta y el chau Tienen hijos en parís, en barcelona Que conocen uruguay de una postal En la casa solo se habla en otro idioma Y el origen solo está en la credencial<>Los hijos de gardel siempre supieron Que la patria es algo más que identidad Se agarraron al lugar como pudieron Y mandaron las valijas al desván<>
