song_name|artist|lyric|lyric_by_e|lang|lyric_length|eval|misogy_estr
Lucio Vasquez|Antonio Aguilar|Volaron los Pavos Reales Rumbo a la sierra mojada Mataron a Lucio Vázquez Por una joven que amabaEran las diez de la noche Estaba Lucio cenando Llegaron unos amigos Para invitarlo a un fandangoSu madre se lo decía Su padre con más razón Hijo no vayas al baile Me lo avisa el corazónAy! ¡Lucio te van a matar! ¡Ay!Montaron en sus caballos Rumbo a la sierra mojada Cuando llegaron al baile Ya su rival lo esperabaLo invitaron a unas copas Lucio no quiso aceptar Se hicieron de unas palabras Para salirse a pelearLe dieron tres puñaladas De la espalda al corazón Como le decía su madre Lo mataron a traición¡Ay! ¡Pobre Lucio!Madre Mía de Guadalupe De la Vía de Querer Dame licencia señora De levantarme otra vezDespués que lo asesinaron Le echaron tierra en la boca Y así lo vieron morir Como cuando a uno le tocaVolaron los Pavos Reales Rumbo a la sierra mojada Mataron a Lucio Vázquez Por una joven que amaba|Volaron los Pavos Reales Rumbo a la sierra mojada Mataron a Lucio Vázquez Por una joven que amaba<>Eran las diez de la noche Estaba Lucio cenando Llegaron unos amigos Para invitarlo a un fandango<>Su madre se lo decía Su padre con más razón Hijo no vayas al baile Me lo avisa el corazón<>Ay! ¡Lucio te van a matar! ¡Ay!<>Montaron en sus caballos Rumbo a la sierra mojada Cuando llegaron al baile Ya su rival lo esperaba<>Lo invitaron a unas copas Lucio no quiso aceptar Se hicieron de unas palabras Para salirse a pelear<>Le dieron tres puñaladas De la espalda al corazón Como le decía su madre Lo mataron a traición<>¡Ay! ¡Pobre Lucio!<>Madre Mía de Guadalupe De la Vía de Querer Dame licencia señora De levantarme otra vez<>Después que lo asesinaron Le echaron tierra en la boca Y así lo vieron morir Como cuando a uno le toca<>Volaron los Pavos Reales Rumbo a la sierra mojada Mataron a Lucio Vázquez Por una joven que amaba<>|es|907|[('active', 28.76761555671692), ('sexual_harassment', 14.739206433296204), ('stereotype', 11.006998270750046), ('dominance', 2.3988021537661552)]|('Volaron los Pavos Reales Rumbo a la sierra mojada Mataron a Lucio Vázquez Por una joven que amaba', ('stereotype', 5.316103994846344), 0)
Los Cuadros (part. Tony Aguirre)|Luis R Conriquez|Voy a mandar unos cuadros pal' gabacho Si los cruzo no más me verán pisteando Unas putas y una bolsa de lavada Bien al tiro quiero a toda mi plebadaYa las uñas ya las traigo bien comidas De los nervios me gusta la adrenalina Pues no crean que le invertimos cinco pesos Son seis carros bien repletitos de quesoCon la feria Voy a operar trés morritas Son los lujos que me deja mi bolsita En Culiacán pa' las rutas no hay relajo Y en Tijuana tiro el humo en buen antroYa me mirarán volando La Santa me está cuidandoEstoy feo pero como levanto culos Los billetes y mis carros los disfruto De corridos toquen la de rico o muerto Vida recia no más pa' jalar los fierrosOjalá que mi padre estuviera vivo Pa' que viera quién es el bueno del circo Ya no soy aquel morrillo que dejaste Me respetan hoy se cuadran al mirarmePa' los que me miraron abajo un tiempo Se lo juro que aquí no hay remordimientos Es más si los miro las pechonas rondan Pa' que miren como han cambiado las cosasVoy a mandar unos cuadros pal' gabacho Si los cruzo no más me verán pisteando Unas putas y una bolsa de lavada Bien al tiro quiero a toda mi plebadaYa me mirarán volando La Santa me está cuidando|Voy a mandar unos cuadros pal' gabacho Si los cruzo no más me verán pisteando Unas putas y una bolsa de lavada Bien al tiro quiero a toda mi plebada<>Ya las uñas ya las traigo bien comidas De los nervios me gusta la adrenalina Pues no crean que le invertimos cinco pesos Son seis carros bien repletitos de queso<>Con la feria Voy a operar trés morritas Son los lujos que me deja mi bolsita En Culiacán pa' las rutas no hay relajo Y en Tijuana tiro el humo en buen antro<>Ya me mirarán volando La Santa me está cuidando<>Estoy feo pero como levanto culos Los billetes y mis carros los disfruto De corridos toquen la de rico o muerto Vida recia no más pa' jalar los fierros<>Ojalá que mi padre estuviera vivo Pa' que viera quién es el bueno del circo Ya no soy aquel morrillo que dejaste Me respetan hoy se cuadran al mirarme<>Pa' los que me miraron abajo un tiempo Se lo juro que aquí no hay remordimientos Es más si los miro las pechonas rondan Pa' que miren como han cambiado las cosas<>Voy a mandar unos cuadros pal' gabacho Si los cruzo no más me verán pisteando Unas putas y una bolsa de lavada Bien al tiro quiero a toda mi plebada<>Ya me mirarán volando La Santa me está cuidando<>|es|1169|[('passive', 4.589521512389183), ('active', 4.364154860377312), ('stereotype', 3.799465298652649), ('discredit', 3.7255167961120605)]|('Ya me mirarán volando La Santa me está cuidando', ('stereotype', 2.3249000310897827), 2)
Jefe de nuevo Laredo|Sergio Vega|Jefe de nuevo Laredo tan pronto se le olvido que andabamos de pateros hace tiempo usted y yo ganandonos el dinero traicionando ala nacionno por que trai uniforme y la ley trai en sus manos se olvide que yo fui el hombre que un vez le dio la mano cuando la lancha en que andaba se volco y se andaba ahogandono me recuerde el pasado ya tengo mucho dinero ni me gusta el contrabando ahora tengo un muy buen puesto te iva a llevar prisionero pero te prefiero muertosabe que estoy desarmado de eso no tenga pendiente con morirme habia soñado en las manos de un valiente y que ganara otro grado que luciera ante su jenteasu pistola echo mano matandolo a sangre fria callo bien muerto Juan Ramos y en su rostro se veia como que se estaba riendo de lo que el nunca creialuego que ya lo mato se quedo muy pensantivo y se apunto al corazon tambien pegandose un tiro para que quiero la vida si e matado a un gran amigo|Jefe de nuevo Laredo tan pronto se le olvido que andabamos de pateros hace tiempo usted y yo ganandonos el dinero traicionando ala nacion<>no por que trai uniforme y la ley trai en sus manos se olvide que yo fui el hombre que un vez le dio la mano cuando la lancha en que andaba se volco y se andaba ahogando<>no me recuerde el pasado ya tengo mucho dinero ni me gusta el contrabando ahora tengo un muy buen puesto te iva a llevar prisionero pero te prefiero muerto<>sabe que estoy desarmado de eso no tenga pendiente con morirme habia soñado en las manos de un valiente y que ganara otro grado que luciera ante su jente<>asu pistola echo mano matandolo a sangre fria callo bien muerto Juan Ramos y en su rostro se veia como que se estaba riendo de lo que el nunca creia<>luego que ya lo mato se quedo muy pensantivo y se apunto al corazon tambien pegandose un tiro para que quiero la vida si e matado a un gran amigo<>|es|907|[('active', 2.8639353811740875), ('sexual_harassment', 2.194131538271904), ('stereotype', 1.8662257120013237), ('dominance', 1.3709980063140392)]|('luego que ya lo mato se quedo muy pensantivo y se apunto al corazon tambien pegandose un tiro para que quiero la vida si e matado a un gran amigo', ('sexual_harassment', 4.970239847898483), 0)
Flor Sin Retono|Pedro Infante|Sembré una flor sin interés Yo la sembré para ver si era formal A los tres días que la deje de regar Al volver ya estaba seca y ya no quiso retoñar Al volver ya estaba seca y ya no quiso retoñarYo la regaba con agua que cae del cielo Y la regaba con lágrimas de mis ojos Mis amigos me dijeron ya no riegues esa flor Esa flor ya no retoña tiene muerto el corazón Esa flor ya no retoña tiene muerto el corazónYo la regaba con agua que cae del cielo Y la regaba con lágrimas de mis ojos Mis amigos me dijeron ya no riegues esa flor Esa flor ya no retoña tiene muerto el corazón Esa flor ya no retoña tiene muerto el corazón|Sembré una flor sin interés Yo la sembré para ver si era formal A los tres días que la deje de regar Al volver ya estaba seca y ya no quiso retoñar Al volver ya estaba seca y ya no quiso retoñar<>Yo la regaba con agua que cae del cielo Y la regaba con lágrimas de mis ojos Mis amigos me dijeron ya no riegues esa flor Esa flor ya no retoña tiene muerto el corazón Esa flor ya no retoña tiene muerto el corazón<>Yo la regaba con agua que cae del cielo Y la regaba con lágrimas de mis ojos Mis amigos me dijeron ya no riegues esa flor Esa flor ya no retoña tiene muerto el corazón Esa flor ya no retoña tiene muerto el corazón<>|es|620|[('stereotype', 10.487362742424011), ('active', 7.9327985644340515), ('passive', 2.7923734858632088), ('sexual_harassment', 2.0997246727347374)]|('Yo la regaba con agua que cae del cielo Y la regaba con lágrimas de mis ojos Mis amigos me dijeron ya no riegues esa flor Esa flor ya no retoña tiene muerto el corazón Esa flor ya no retoña tiene muerto el corazón', ('stereotype', 17.6722452044487), 0)
Hoy Tengo Ganas de Ti (part. Christina Aguilera)|Alejandro Fernández|Fuiste ave de paso y no sé por qué razón Me fui acostumbrando cada día más a ti Los dos inventamos la aventura del amor Llenaste mi vida y después te vi partir Sin decirme adiós, yo te vi partirQuiero en tus manos abiertas buscar mi camino Y que te sientas mujer solamente conmigo Hoy tengo ganas de ti, hoy tengo ganas de tiQuiero apagar en tus labios la sed de mi alma Y descubrir el amor juntos cada mañana Hoy tengo ganas de ti, hoy tengo ganas de tiNo hay nada más triste que el silencio y el dolor Nada más amargo que saber que te perdí Hoy busco en la noche el sonido de tu voz Y donde te escondes para llenarme de mi (llenarme de ti, llenarme de ti)Quiero en tus manos abiertas buscar mi camino Y que te sientas mujer solamente conmigo Hoy tengo ganas de ti, hoy tengo ganas de tiQuiero apagar en tus labios la sed de mi alma Y descubrir el amor juntos cada mañana Hoy tengo ganas de ti, hoy tengo ganas de ti, ooh ohOoh ohQuiero en tus manos abiertas buscar mi camino Y que te sientas mujer solamente conmigo Hoy tengo ganas de ti, hoy tengo ganas de tiAh oh, soh oh, solamente conmigo|Fuiste ave de paso y no sé por qué razón Me fui acostumbrando cada día más a ti Los dos inventamos la aventura del amor Llenaste mi vida y después te vi partir Sin decirme adiós, yo te vi partir<>Quiero en tus manos abiertas buscar mi camino Y que te sientas mujer solamente conmigo Hoy tengo ganas de ti, hoy tengo ganas de ti<>Quiero apagar en tus labios la sed de mi alma Y descubrir el amor juntos cada mañana Hoy tengo ganas de ti, hoy tengo ganas de ti<>No hay nada más triste que el silencio y el dolor Nada más amargo que saber que te perdí Hoy busco en la noche el sonido de tu voz Y donde te escondes para llenarme de mi (llenarme de ti, llenarme de ti)<>Quiero en tus manos abiertas buscar mi camino Y que te sientas mujer solamente conmigo Hoy tengo ganas de ti, hoy tengo ganas de ti<>Quiero apagar en tus labios la sed de mi alma Y descubrir el amor juntos cada mañana Hoy tengo ganas de ti, hoy tengo ganas de ti, ooh oh<>Ooh oh<>Quiero en tus manos abiertas buscar mi camino Y que te sientas mujer solamente conmigo Hoy tengo ganas de ti, hoy tengo ganas de ti<>Ah oh, soh oh, solamente conmigo<>|es|1094|[('active', 33.011749386787415), ('sexual_harassment', 15.692855417728424), ('stereotype', 5.777453258633614), ('dominance', 3.147587552666664)]|('Ah oh, soh oh, solamente conmigo', ('dominance', 4.888944327831268), 5)
Cuando Yo Quería Ser Grande|Vicente Fernández|Se van perdiendo en el tiempo, mis años Se van quedando muy lejos Ya no me lleva mi padre la mano Solamente sus consejosViven en mí los recuerdos de niño Cuando una estrella deseaba Cómo recuerdo a mi padre Que con esos sonreía, mientras mi madre mirabaAños que vienen despacio, primero Con que lentitud avanzan Cómo quería ser grande, recuerdo Para no quedarme en casaY acompañar a mi padre muy lejos Tal vez hasta el fin del mundo Porque mi padre era fuerte, era muy inteligente Era mejor que ningunoHoy, ya no quiero que pasen los años Porque mi padre ya está viejo Se le han cubierto de arrugas sus manos Y de nieve sus cabellosOh, Señor, deten el tiempo, te pido Porque tú puedes hacerlo Porque yo en verdad no entiendo Dios mío, por qué se nos va lo buenoCuando se cansen, un día, tus pasos Yo quiero ser quien los cuide Mientras tanto, dame el brazo Y vamos a ver, a ver qué vas a decirme|Se van perdiendo en el tiempo, mis años Se van quedando muy lejos Ya no me lleva mi padre la mano Solamente sus consejos<>Viven en mí los recuerdos de niño Cuando una estrella deseaba Cómo recuerdo a mi padre Que con esos sonreía, mientras mi madre miraba<>Años que vienen despacio, primero Con que lentitud avanzan Cómo quería ser grande, recuerdo Para no quedarme en casa<>Y acompañar a mi padre muy lejos Tal vez hasta el fin del mundo Porque mi padre era fuerte, era muy inteligente Era mejor que ninguno<>Hoy, ya no quiero que pasen los años Porque mi padre ya está viejo Se le han cubierto de arrugas sus manos Y de nieve sus cabellos<>Oh, Señor, deten el tiempo, te pido Porque tú puedes hacerlo Porque yo en verdad no entiendo Dios mío, por qué se nos va lo bueno<>Cuando se cansen, un día, tus pasos Yo quiero ser quien los cuide Mientras tanto, dame el brazo Y vamos a ver, a ver qué vas a decirme<>|es|895|[('stereotype', 2.6424892246723175), ('active', 2.4391701444983482), ('dominance', 1.3371034525334835), ('sexual_harassment', 1.3267019763588905)]|('Cuando se cansen, un día, tus pasos Yo quiero ser quien los cuide Mientras tanto, dame el brazo Y vamos a ver, a ver qué vas a decirme', ('sexual_harassment', 25.742322206497192), 0)
Luto en el cielo|Sergio Vega|Acordeones ya no lloren bajo cesto no se quejen, las arañas en el monte saben el teje y maneje los narcos en sinaloa no repetaron al jefe.los contactos son bonitos, los aviones eficientes, los arroyos llevan agua, y el agua los barcos mueve, cuidense mucho mis niños se nos fue carrillo fuentes.y aunque el se encuentra en el cielo pero nos dejo un legado, pesa mucho yo lo siento porque tiemblan los soldados, por donde pasa su gente no se mete ni el ganado.el gobierno americano, les giro una mala orden se equivoco el mexicano y le hicieron un desorden, y aunque el se encuentra en el cielo, todavia se le esconde.avioneta cesna blanca, mi condor cuello dorado, ruta de la julia 15 los extraño en todos lados, y van a pasar los años, sus recuerdos no he borrado.rancho del guamuchilito, desde el cielo yo te veo, cuidamelos san juditas y a esa gente que mas quiero, prendan muchas veladoras que me alumbren hasta el cielo.|Acordeones ya no lloren bajo cesto no se quejen, las arañas en el monte saben el teje y maneje los narcos en sinaloa no repetaron al jefe.<>los contactos son bonitos, los aviones eficientes, los arroyos llevan agua, y el agua los barcos mueve, cuidense mucho mis niños se nos fue carrillo fuentes.<>y aunque el se encuentra en el cielo pero nos dejo un legado, pesa mucho yo lo siento porque tiemblan los soldados, por donde pasa su gente no se mete ni el ganado.<>el gobierno americano, les giro una mala orden se equivoco el mexicano y le hicieron un desorden, y aunque el se encuentra en el cielo, todavia se le esconde.<>avioneta cesna blanca, mi condor cuello dorado, ruta de la julia 15 los extraño en todos lados, y van a pasar los años, sus recuerdos no he borrado.<>rancho del guamuchilito, desde el cielo yo te veo, cuidamelos san juditas y a esa gente que mas quiero, prendan muchas veladoras que me alumbren hasta el cielo.<>|es|925|[('active', 1.9674910232424736), ('stereotype', 1.7459819093346596), ('sexual_harassment', 1.2817182578146458), ('passive', 1.2702664360404015)]|('rancho del guamuchilito, desde el cielo yo te veo, cuidamelos san juditas y a esa gente que mas quiero, prendan muchas veladoras que me alumbren hasta el cielo.', ('stereotype', 29.54729199409485), 0)
Yo... El Aventurero|Pedro Fernández|Abusadas, mamacitas, que ya llegó su aventurero Pónganse abusadas, abusadasAy lara la, ay lara la, ay lara la lara la Ay lara la, ay lara la, ay lara la lara laYo soy el aventurero El mundo me importa poco Cuando una mujer me gusta Me gusta a pesar de todoMe gustan Las altas y las chaparritas Las flacas, las gordas y las chiquititas Solteras y viudas y divorciaditas Me encantan las chatas de caras bonitasY por eso digo así cantando con mi canción Yo soy el aventurero puritito corazón Verda' de Dios que sí, compadrito Échele que suene, que suene una aroAy lara la, ay lara la, ay lara la lara la Ay lara la, ay lara la, ay lara la lara laEl mundo me importa poco Y hago de mi lo que quiero Soy honrado buen amigo Vacilador más sinceroYo juego baraja y sé parrandear Lo mismo les tomo tequila o mezcal Yo le entro al pulquito, también al champagne Lo mismo les bailo que un tango que un vals Lo mismo un jarabe que algún cha cha cha También bailo brake Y hasta lo que no han inventado, compadreYo soy el aventurero y a mis suegras les respondo Que si traen a sus hijitas, me las cuiden o no respondo Verdad de Dios que no Yo agarro parejo, parejo, parejo, compadritoAy lara la, ay lara la, ay lara la lara la Ay lara la, ay lara la, ay lara la lara laYo soy el aventurero El mundo me importa poco Cuando una mujer me gusta Me gusta a pesar de todoMe gustan Las altas y las chaparritas Las flacas, las gordas y las chiquititas Solteras y viudas y divorciaditas Me encantan las chatas de caras bonitasMe gustan las suegras que no son celosas Me encantan las chatas poco resbalosas Que tengan mamaces, muy buenas señoras Me encantan las gordas retejaladorasQue tengan hermanos, que no sean celosos Que tengan sus novios, caras de babosos Me encanta la vida, me gusta el amor Soy aventurero, re vaciladorSe me fue el aire Fue horrible, fue horrible Y por eso tengo el alma de trovador y bohemio Yo soy el aventurero, buenas tardes y ahí nos vemosAy lara la, ay lara la Aventurero yo soy|Abusadas, mamacitas, que ya llegó su aventurero Pónganse abusadas, abusadas<>Ay lara la, ay lara la, ay lara la lara la Ay lara la, ay lara la, ay lara la lara la<>Yo soy el aventurero El mundo me importa poco Cuando una mujer me gusta Me gusta a pesar de todo<>Me gustan Las altas y las chaparritas Las flacas, las gordas y las chiquititas Solteras y viudas y divorciaditas Me encantan las chatas de caras bonitas<>Y por eso digo así cantando con mi canción Yo soy el aventurero puritito corazón Verda' de Dios que sí, compadrito Échele que suene, que suene una aro<>Ay lara la, ay lara la, ay lara la lara la Ay lara la, ay lara la, ay lara la lara la<>El mundo me importa poco Y hago de mi lo que quiero Soy honrado buen amigo Vacilador más sincero<>Yo juego baraja y sé parrandear Lo mismo les tomo tequila o mezcal Yo le entro al pulquito, también al champagne Lo mismo les bailo que un tango que un vals Lo mismo un jarabe que algún cha cha cha También bailo brake Y hasta lo que no han inventado, compadre<>Yo soy el aventurero y a mis suegras les respondo Que si traen a sus hijitas, me las cuiden o no respondo Verdad de Dios que no Yo agarro parejo, parejo, parejo, compadrito<>Ay lara la, ay lara la, ay lara la lara la Ay lara la, ay lara la, ay lara la lara la<>Yo soy el aventurero El mundo me importa poco Cuando una mujer me gusta Me gusta a pesar de todo<>Me gustan Las altas y las chaparritas Las flacas, las gordas y las chiquititas Solteras y viudas y divorciaditas Me encantan las chatas de caras bonitas<>Me gustan las suegras que no son celosas Me encantan las chatas poco resbalosas Que tengan mamaces, muy buenas señoras Me encantan las gordas retejaladoras<>Que tengan hermanos, que no sean celosos Que tengan sus novios, caras de babosos Me encanta la vida, me gusta el amor Soy aventurero, re vacilador<>Se me fue el aire Fue horrible, fue horrible Y por eso tengo el alma de trovador y bohemio Yo soy el aventurero, buenas tardes y ahí nos vemos<>Ay lara la, ay lara la Aventurero yo soy<>|es|1986|[('passive', 43.06090176105499), ('stereotype', 30.127155780792236), ('discredit', 25.63070058822632), ('derailing', 8.060894906520844)]|('Ay lara la, ay lara la Aventurero yo soy', ('stereotype', 2.1452130749821663), 7)
La Martina|Antonio Aguilar|Quince años tenía Martina Cuando su amor me entregó A los dieciséis cumplidos Una traición me jugóY estaban en la conquista Cuando el marido llegó ¿Qué estás haciendo Martina Que no estás en tu color?Aquí me he estado sentada No me he podido dormir Si mi tienes desconfianza No te separes de mi¿De quién es esa pistola De quien es ese reloj De quién es ese caballo Que en el corral relinchó?Ese caballo es muy tuyo Tu papá te lo mandó Pa' que fueras a la boda De tu hermana la menorYo pa' que quiero caballos Si caballos tengo yo Lo que quiero es que me digas ¿Quién en mi cama durmió?En tu cama nadie duerme Cuando tú no estás aquí Si me tienes desconfianza No te separes de miY la tomó de la mano A sus papás la llevó Suegros aquí esta Martina Que una traición me jugóLlévatela tu mi yerno La iglesia te la entregó Y si te ha traicionado La culpa no tengo yoHincadita de rodillas Nomás seis tiros le dio El amigo del caballo Ni por la silla volvió|Quince años tenía Martina Cuando su amor me entregó A los dieciséis cumplidos Una traición me jugó<>Y estaban en la conquista Cuando el marido llegó ¿Qué estás haciendo Martina Que no estás en tu color?<>Aquí me he estado sentada No me he podido dormir Si mi tienes desconfianza No te separes de mi<>¿De quién es esa pistola De quien es ese reloj De quién es ese caballo Que en el corral relinchó?<>Ese caballo es muy tuyo Tu papá te lo mandó Pa' que fueras a la boda De tu hermana la menor<>Yo pa' que quiero caballos Si caballos tengo yo Lo que quiero es que me digas ¿Quién en mi cama durmió?<>En tu cama nadie duerme Cuando tú no estás aquí Si me tienes desconfianza No te separes de mi<>Y la tomó de la mano A sus papás la llevó Suegros aquí esta Martina Que una traición me jugó<>Llévatela tu mi yerno La iglesia te la entregó Y si te ha traicionado La culpa no tengo yo<>Hincadita de rodillas Nomás seis tiros le dio El amigo del caballo Ni por la silla volvió<>|es|949|[('stereotype', 34.07678306102753), ('active', 26.68822705745697), ('passive', 3.6729902029037476), ('dominance', 3.6319103091955185)]|('Hincadita de rodillas Nomás seis tiros le dio El amigo del caballo Ni por la silla volvió', ('stereotype', 19.50063705444336), 1)
El Foco|Dareyes de La Sierra|Señor se que es el foco  del bolsillo que la mujer  le hace cosquillas  cuando baila muy pegado. Su suegra lo esta mirando  le hace muecas con la boca  le hace señas con la mano  para que baile mas despegado. No me diga señor  que esta noche  no trajo el foco  porque se lo estan sientiendo. Su suegra lo esta mirando  le hace muecas con la boca  le hace señas con las manos  para que baile mas despegado. Cual foco  cual foco  cual foco  si esta noche  no traje el foco. Cual foco  cual foco  cual foco si esta noche  no traje el foco|Señor se que es el foco  del bolsillo que la mujer  le hace cosquillas  cuando baila muy pegado. <>Su suegra lo esta mirando  le hace muecas con la boca  le hace señas con la mano  para que baile mas despegado. <>No me diga señor  que esta noche  no trajo el foco  porque se lo estan sientiendo. <>Su suegra lo esta mirando  le hace muecas con la boca  le hace señas con las manos  para que baile mas despegado. <>Cual foco  cual foco  cual foco  si esta noche  no traje el foco. <>Cual foco  cual foco  cual foco si esta noche  no traje el foco<>|es|535|[('stereotype', 44.12062168121338), ('passive', 11.065836995840073), ('active', 9.279729425907135), ('dominance', 2.429710701107979)]|('Cual foco  cual foco  cual foco si esta noche  no traje el foco', ('stereotype', 2.0492836833000183), 1)
Por Mujeres Como Tú|Pepe Aguilar|Me estoy acobardando y lo ha notado Y eso no es muy bueno para mí­ Si quiero retenerla entre mis brazos Será mejor que no me vea sufrirEstoy estacionando en los fracasos Y hoy voy a remediar la situación Será que siempre he dado demasiado Y en el exceso siempre salgo dañadoPor mujeres como tú, amor Hay hombres como yo Que se pueden morir por dignidad Mordiendo el corazónPor mujeres como tú, amor Hay hombres como yo Que se pueden perder en el alcohol Por una decepciónEstoy estacionado en los fracasos Y hoy voy a remediar la situación Será que siempre he dado demasiado Y en el exceso siempre salgo dañadoPor mujeres como tú, amor Hay hombres como yo Que se pueden morir por dignidad Mordiendo el corazónPor mujeres como tú, amor Hay hombres como yo Que se pueden perder en el alcohol Por una decepciónPor mujeres como tú, amor Hay hombres como yo Que se pueden perder en el alcohol Por una decepción|Me estoy acobardando y lo ha notado Y eso no es muy bueno para mí­ Si quiero retenerla entre mis brazos Será mejor que no me vea sufrir<>Estoy estacionando en los fracasos Y hoy voy a remediar la situación Será que siempre he dado demasiado Y en el exceso siempre salgo dañado<>Por mujeres como tú, amor Hay hombres como yo Que se pueden morir por dignidad Mordiendo el corazón<>Por mujeres como tú, amor Hay hombres como yo Que se pueden perder en el alcohol Por una decepción<>Estoy estacionado en los fracasos Y hoy voy a remediar la situación Será que siempre he dado demasiado Y en el exceso siempre salgo dañado<>Por mujeres como tú, amor Hay hombres como yo Que se pueden morir por dignidad Mordiendo el corazón<>Por mujeres como tú, amor Hay hombres como yo Que se pueden perder en el alcohol Por una decepción<>Por mujeres como tú, amor Hay hombres como yo Que se pueden perder en el alcohol Por una decepción<>|es|904|[('active', 3.0945101752877235), ('stereotype', 2.067730762064457), ('sexual_harassment', 1.6255203634500504), ('dominance', 1.2448803521692753)]|('Por mujeres como tú, amor Hay hombres como yo Que se pueden perder en el alcohol Por una decepción', ('stereotype', 3.7760868668556213), 1)
El Cigarrillo|Ana Gabriel|Anoche estuve conversando con mi cigarrillo Me sentí cansada, cansada, aburrida y tan vacía Que a veces hasta pienso que ni siquiera existo Que a veces hasta pienso que ni siquiera existoLo encendí muy lentamente, le di una fumada Y al mirar el humo, que en el espacio se volatizaba Recordé tantas cosas que creí olvidadas Se las conté todas mientras que lo fumabaLe conversé de ti, y de mis añoranzas Le conté de tus besos y de mis esperanzas Le conté de tu olvido, de mis lágrimas tantas De aquello que vivimos, y que hoy se ha vuelto nadaLe dije que es posible que a mi nadie me quiera Porque he intentado vivir a mi manera Porque me he negado a pagar el tributo de bajeza y pecado Que hoy nos exige el mundoQue a lo mejor estoy acabada o que la vida me ha vencido Que he sufrido y he llorado, que he luchado y he reído Y qué es lo que he ganado por ser así tan comprensiva Solo vivir desesperada en un mundo tan vacíoA noche estuve conversando con mi cigarrillo Y al terminarlo, pensando me quedé entre sus pies Que en este verso triste, que es el mundo en que vivo Solo él me va quedando como único amigo|Anoche estuve conversando con mi cigarrillo Me sentí cansada, cansada, aburrida y tan vacía Que a veces hasta pienso que ni siquiera existo Que a veces hasta pienso que ni siquiera existo<>Lo encendí muy lentamente, le di una fumada Y al mirar el humo, que en el espacio se volatizaba Recordé tantas cosas que creí olvidadas Se las conté todas mientras que lo fumaba<>Le conversé de ti, y de mis añoranzas Le conté de tus besos y de mis esperanzas Le conté de tu olvido, de mis lágrimas tantas De aquello que vivimos, y que hoy se ha vuelto nada<>Le dije que es posible que a mi nadie me quiera Porque he intentado vivir a mi manera Porque me he negado a pagar el tributo de bajeza y pecado Que hoy nos exige el mundo<>Que a lo mejor estoy acabada o que la vida me ha vencido Que he sufrido y he llorado, que he luchado y he reído Y qué es lo que he ganado por ser así tan comprensiva Solo vivir desesperada en un mundo tan vacío<>A noche estuve conversando con mi cigarrillo Y al terminarlo, pensando me quedé entre sus pies Que en este verso triste, que es el mundo en que vivo Solo él me va quedando como único amigo<>|es|1109|[('active', 2.796420454978943), ('stereotype', 2.468431182205677), ('sexual_harassment', 1.344585232436657), ('dominance', 1.2929920107126236)]|('A noche estuve conversando con mi cigarrillo Y al terminarlo, pensando me quedé entre sus pies Que en este verso triste, que es el mundo en que vivo Solo él me va quedando como único amigo', ('stereotype', 3.0313927680253983), 0)
Quién Como Tú|Ana Gabriel|El perfume de su almohada, tú lo conoces bien Y la humedad de sus sábanas blancas también Que suerte la tuya que puedes tenerlo a tus pies Sintiendo en tu boca sus besos que saben a mielMirando como le hablas de amor el tiempo no se detiene Y nada tengo yo que esperar aunque me quede en el aireQuién como tú, que día a día puedes tenerle Quién como tú, que solo entre tus brazos se duerme Quién como túQuién como tú, que tarde a tarde esperas que llegue Quién como tú, que con ternura cura sus fiebres Quién como túEsas noches de locura, tú las disfrutas bien Y entre sus brazos las horas no pasan lo séMirando como le hablas de amor el tiempo no se detiene Y nada tengo yo que esperar aunque me quede en el aireQuién como tú, que día a día puedes tenerle Quién como tú, que solo entre tus brazos se duerme Quién como túQuién como tú, que día a día puedes tenerle Quién como tú, que solo entre tus brazos se duerme Quién como túQuién como tú, que tarde a tarde esperas que llegue Quién como tú, que con ternura cura sus fiebres Quién como tú, como túQuién como tú|El perfume de su almohada, tú lo conoces bien Y la humedad de sus sábanas blancas también Que suerte la tuya que puedes tenerlo a tus pies Sintiendo en tu boca sus besos que saben a miel<>Mirando como le hablas de amor el tiempo no se detiene Y nada tengo yo que esperar aunque me quede en el aire<>Quién como tú, que día a día puedes tenerle Quién como tú, que solo entre tus brazos se duerme Quién como tú<>Quién como tú, que tarde a tarde esperas que llegue Quién como tú, que con ternura cura sus fiebres Quién como tú<>Esas noches de locura, tú las disfrutas bien Y entre sus brazos las horas no pasan lo sé<>Mirando como le hablas de amor el tiempo no se detiene Y nada tengo yo que esperar aunque me quede en el aire<>Quién como tú, que día a día puedes tenerle Quién como tú, que solo entre tus brazos se duerme Quién como tú<>Quién como tú, que día a día puedes tenerle Quién como tú, que solo entre tus brazos se duerme Quién como tú<>Quién como tú, que tarde a tarde esperas que llegue Quién como tú, que con ternura cura sus fiebres Quién como tú, como tú<>Quién como tú<>|es|1064|[('active', 22.30651080608368), ('stereotype', 20.44854313135147), ('sexual_harassment', 9.97270867228508), ('passive', 3.6230262368917465)]|('Quién como tú', ('stereotype', 6.043568253517151), 1)
